permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
response,11,53,129.2900641060674,0.15158220273315023,103.87542493294998,Bootstrap01
response,11,53,146.6906968234142,0.22199426805660966,120.29235447202244,Bootstrap02
response,11,53,156.1843083681439,0.16218268480809178,128.61944765252673,Bootstrap03
response,11,53,143.97387069882518,0.0691351324324864,111.16701981047093,Bootstrap04
response,11,53,168.2239538768649,0.0282497872429947,138.6470276318884,Bootstrap05
response,11,53,125.02375168672748,0.09996579603037856,99.09339631779645,Bootstrap06
response,11,53,170.65380457962291,0.009850224761404479,143.07347339693098,Bootstrap07
response,11,53,154.77116132960822,0.284188005032811,117.28343634600864,Bootstrap08
response,11,53,127.39653845161928,0.07552042475261894,106.79862146673435,Bootstrap09
response,11,53,172.0646565758375,0.01181605574322198,148.01830536036115,Bootstrap10
response,12,54,147.4177098769685,0.06716159689330403,118.99641428248265,Bootstrap01
response,12,54,145.41741290074432,0.17462582690158177,120.01723209138488,Bootstrap02
response,12,54,148.91459533951604,0.04581917205838172,113.39356060194804,Bootstrap03
response,12,54,166.26068073390337,0.019121807652143268,136.99037604271734,Bootstrap04
response,12,54,154.09930277981496,0.07946497504613073,117.80068725879542,Bootstrap05
response,12,54,165.35131464385165,0.02545274242353192,138.87823425128573,Bootstrap06
response,12,54,181.0936753997552,7.785142675656656e-4,138.0993850862516,Bootstrap07
response,12,54,153.2864465157395,0.0022211994131067867,118.99433416289045,Bootstrap08
response,12,54,155.0471891389139,0.02633930660484237,123.38120841401955,Bootstrap09
response,12,54,152.0040318096024,0.01340184717457209,121.10871564018221,Bootstrap10
response,13,55,131.3306493948453,0.03025482650300303,107.42656255026196,Bootstrap01
response,13,55,128.88611065339518,0.18284715872305077,98.01905933828519,Bootstrap02
response,13,55,151.74486495654943,0.14244881656202263,120.39401052068048,Bootstrap03
response,13,55,129.96097955390243,0.19301500038250277,103.79491216833068,Bootstrap04
response,13,55,138.77797920579792,0.17268873550688377,113.88940989531473,Bootstrap05
response,13,55,129.06051800758553,0.007100037178325441,108.53063785552507,Bootstrap06
response,13,55,170.28234778075307,0.012427705235504474,135.71322312894776,Bootstrap07
response,13,55,131.53760915588984,0.11173474433304197,104.1403652536448,Bootstrap08
response,13,55,137.91052631690832,0.3110647784553448,116.09814554117649,Bootstrap09
response,13,55,139.7377383481638,0.05927683319725993,105.01300314807675,Bootstrap10
response,14,56,162.24267335104054,0.0941218940603409,115.87565571243792,Bootstrap01
response,14,56,154.6578187740378,0.0019344596122346047,126.1249848873902,Bootstrap02
response,14,56,162.3750979293936,0.055548852313894566,127.24315488317825,Bootstrap03
response,14,56,166.44326181154756,2.2174560937690928e-4,125.51859925057056,Bootstrap04
response,14,56,149.10366972222596,0.06689169300160583,116.27549737404127,Bootstrap05
response,14,56,179.54668005217061,0.01644287218394906,141.93720956968113,Bootstrap06
response,14,56,165.2990395627221,0.015585694399476034,131.4164429263679,Bootstrap07
